shapeid,Name,visibility,drawOrder,icon,snippet,area
0,Rnorth,-1,NULL,NULL,NULL,14.99
1,Rsouth,-1,NULL,NULL,NULL,19.76
2,Rcentral,-1,NULL,NULL,NULL,51.06
3,Pnorth,-1,NULL,NULL,NULL,49.82
4,T,-1,NULL,NULL,NULL,45.61
5,S,-1,NULL,NULL,NULL,31.74
6,N,-1,NULL,NULL,NULL,27.53
7,Meast,-1,NULL,NULL,NULL,35.23
8,Mwest,-1,NULL,NULL,NULL,18.5
9,Fnorth,-1,NULL,NULL,NULL,12.97
10,Fsouth,-1,NULL,NULL,NULL,10.43
11,Kwest,-1,NULL,NULL,NULL,26.12
12,Psouth,-1,NULL,NULL,NULL,26.87
13,Keast,-1,NULL,NULL,NULL,25.56
14,Heast,-1,NULL,NULL,NULL,13.28
15,L,-1,NULL,NULL,NULL,16.68
16,Gnorth,-1,NULL,NULL,NULL,9.46
17,Hwest,-1,NULL,NULL,NULL,9.64
18,B,-1,NULL,NULL,NULL,2.79
19,Gsouth,-1,NULL,NULL,NULL,9.89
20,D,-1,NULL,NULL,NULL,8.7
21,E,-1,NULL,NULL,NULL,7.79
22,C,-1,NULL,NULL,NULL,2.08
23,A,-1,NULL,NULL,NULL,11.95