mrf_id,Ward,Address,Lat,Lon
1,A,"Suraksha Garden, Capt. Prakash Pethe Road, Colaba, Mumbai Ð 05",18.917129,72.823643
2,B,"Opp.Tata Power House, Sant Tukaram Road, Dead End",18.949044,72.839319
3,B,"Nandalal Jani Road, S.V.P. Road Low Level",18.957659,72.840581
4,C,"Kumbharwada, North Brook, Jewish Cemetery, M S Ali Road, Near Durgadevi Udyan",18.961598,72.826689
5,D,"Bombay Garage, Babulnath",18.958408,72.808848
6,E,"Ghas Gully, Sane Guruji Marg, Agripada",18.978072,72.824369
7,F/S,"Dinashaw Petit Lane, Lalbaug, Mumbai - 400012",18.989295,72.83788
8,F/S,"Below Cotton Green Railway Station Ticket Counter, Cotton Green, Mumbai Ð 33",18.986504,72.842698
9,F/S,"Near T.B. Hospital, Jerbai Wadia Marg, Sewree, Mumbai - 15",19.005092,72.852226
10,F/N,"R. G. Plot, C-17, Behind Bus Depot, Shekh Mistri Durga, Antop Hill",19.025547,72.866231
11,F/N,Near Fire Brigade,19.024976,72.870069
12,G/S,"LPG Yard Near Engg. Hub Premises, Dr. E. Mozes Road, Worli",18.995367,72.817898
13,G/N,"Dharavi Pumping, Dharavi",19.047116,72.861443
14,G/N,"Pramod Mahajan Garden, Dadar",19.01392,72.838254
15,G/N,"Dr. Ambedkar Nagar, Below Elphinston Bridge, Near Fish Market, Senapati Bapat Marg",19.007985,72.835946
16,H/E,"Kudadan No 2, at Bharat Nagar Corner, BKC",19.065533,72.862071
17,H/W,"Near Bandra MTNL Telephone Exchange, Bandra (W)",19.051234,72.836913
18,H/W,"Santacruz (W), T.P.S Rd-3, Near Dharmavir Sambhaji Ground, Khotawadi",19.088762,72.840265
19,K/E,"Near Checkpost Chowkey, Mahakali Road - Footpath",19.124437,72.864625
20,K/W,"Kapaswadi, Juhu Versova Link Road, Andheri (W)",19.118573,72.828298
21,K/W,"Ajit Glass, Near Maternity Home, Jogeshwari (W)",19.146532,72.84311
22,K/W,"Near Yashraj Studio, Oshiwara",19.135415,72.833918
23,P/S,"Near Eco House, Vishweshwar Cross Road, Goregaon (East)",19.168902,72.853335
24,P/S,"Religare, Off S.V. Road, Opp. Mahesh Nagar, Goregaon (West)",19.165018,72.846896
25,P/N,"Near Marve Pumping Station,Marve Road, Malad (W)",19.196862,72.81482
26,R/S,"Near Maintenance Chowky, Sainagar, Kandivali - Footpath",19.206931,72.830876
27,R/S,"Near ML Chowkey, Kandivali (E)",19.198723,72.851624
28,R/S,"Pimpal Gulley, Near Hindustan Naka, Kandivali",19.210709,72.829977
29,R/C,"MCGM Plot, Opp. Shimpoli Telephone Exchange, Shimpoli, Borivali (W)",19.223713,72.842731
30,R/N,"Below ROB, Babhalipada, Anand Nagar, Dahisar (E)",19.256681,72.863173
31,R/N,"At Dahisar Gavthan, Dahisar (West)",19.258332,72.8566
32,L,"Galla No. 11, J.K. Compound, Near Aahilya Haid Masjid, Khairani Road, Sakinaka, Kurla (W)",19.106994,72.892322
33,M/E,Near Biogas Plant in Shatabdi Hospital Premises,19.209299,72.851458
34,M/W,"Helipad, Sindhi Society, Kala Road End, Chembur - Shed 1",19.050922,72.890468
35,M/W,"Helipad, Sindhi Society, Kala Road End, Chembur - Shed 2",19.050832,72.890699
36,N,"MCGM Amenity Plot, Near Sikova Compound, Ghatkopar (W)",19.094266,72.91345
37,S,"Lake Road, Hind Rectifier, Bhandup",19.158061,72.934477
38,T,"Below Flyover Bridge, V B Phadake Road, Mulund (E) ",19.174394,72.962589
39,T,"Nandanvan Industrial, Malviya Cross Road, Mulund (W) ",19.168936,72.94357